Bench1:  184 All:  184
No tmp folder to clear
---------- Run #0 ----------
--- Run #0 of Baseline
# Collect Benchmarks in Dir: /lib/encoding
## Collect Benchmarks in File: encoding_timing_test.go
## Collect Benchmarks in File: int_timing_test.go
## Collect Benchmarks in File: nearest_delta2_timing_test.go
## Collect Benchmarks in File: nearest_delta_timing_test.go
# Collect Benchmarks in Dir: /lib/streamaggr
## Collect Benchmarks in File: dedup_timing_test.go
## Collect Benchmarks in File: deduplicator_timing_test.go
## Collect Benchmarks in File: streamaggr_timing_test.go
# Collect Benchmarks in Dir: /lib/promscrape/discovery/kubernetes
## Collect Benchmarks in File: pod_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/vmimport
## Collect Benchmarks in File: parser_timing_test.go
# Collect Benchmarks in Dir: /app/vlinsert/loki
## Collect Benchmarks in File: loki_json_timing_test.go
## Collect Benchmarks in File: loki_protobuf_timing_test.go
# Collect Benchmarks in Dir: /lib/blockcache
## Collect Benchmarks in File: blockcache_timing_test.go
# Collect Benchmarks in Dir: /app/vmselect/promql
## Collect Benchmarks in File: rollup_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/csvimport
## Collect Benchmarks in File: parser_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/graphite
## Collect Benchmarks in File: parser_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/opentelemetry/stream
## Collect Benchmarks in File: streamparser_timing_test.go
# Collect Benchmarks in Dir: /lib/storage
## Collect Benchmarks in File: index_db_timing_test.go
## Collect Benchmarks in File: inmemory_part_timing_test.go
## Collect Benchmarks in File: table_search_timing_test.go
## Collect Benchmarks in File: table_timing_test.go
## Collect Benchmarks in File: block_stream_reader_timing_test.go
## Collect Benchmarks in File: dedup_timing_test.go
## Collect Benchmarks in File: tag_filters_timing_test.go
## Collect Benchmarks in File: block_stream_writer_timing_test.go
## Collect Benchmarks in File: storage_timing_test.go
## Collect Benchmarks in File: merge_timing_test.go
## Collect Benchmarks in File: part_search_timing_test.go
# Collect Benchmarks in Dir: /app/vmagent/remotewrite
## Collect Benchmarks in File: pendingseries_timing_test.go
# Collect Benchmarks in Dir: /lib/prompb
## Collect Benchmarks in File: prompb_timing_test.go
# Collect Benchmarks in Dir: /app/vlinsert/opentelemetry
## Collect Benchmarks in File: opentemetry_timing_test.go
# Collect Benchmarks in Dir: /app/vmselect/netstorage
## Collect Benchmarks in File: netstorage_timing_test.go
# Collect Benchmarks in Dir: /lib/uint64set
## Collect Benchmarks in File: uint64set_timing_test.go
# Collect Benchmarks in Dir: /app/vmalert/rule
## Collect Benchmarks in File: group_timing_test.go
# Collect Benchmarks in Dir: /lib/prompbmarshal
## Collect Benchmarks in File: prompbmarshal_timing_test.go
# Collect Benchmarks in Dir: /app/vmselect/prometheus
## Collect Benchmarks in File: federate_timing_test.go
# Collect Benchmarks in Dir: /lib/fasttime
## Collect Benchmarks in File: fasttime_timing_test.go
# Collect Benchmarks in Dir: /lib/regexutil
## Collect Benchmarks in File: promregex_timing_test.go
## Collect Benchmarks in File: regex_timing_test.go
# Collect Benchmarks in Dir: /lib/promscrape/discoveryutils
## Collect Benchmarks in File: utils_timing_test.go
# Collect Benchmarks in Dir: /app/vlinsert/elasticsearch
## Collect Benchmarks in File: elasticsearch_timing_test.go
# Collect Benchmarks in Dir: /lib/decimal
## Collect Benchmarks in File: decimal_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/prometheus
## Collect Benchmarks in File: parser_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/datadogv2
## Collect Benchmarks in File: parser_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/opentsdb
## Collect Benchmarks in File: parser_timing_test.go
# Collect Benchmarks in Dir: /lib/bloomfilter
## Collect Benchmarks in File: filter_timing_test.go
# Collect Benchmarks in Dir: /lib/fs
## Collect Benchmarks in File: reader_at_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/datadogv1
## Collect Benchmarks in File: parser_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/influx
## Collect Benchmarks in File: parser_timing_test.go
# Collect Benchmarks in Dir: /app/vmalert/datasource
## Collect Benchmarks in File: vm_prom_api_timing_test.go
# Collect Benchmarks in Dir: /lib/promscrape
## Collect Benchmarks in File: config_timing_test.go
## Collect Benchmarks in File: scrapework_timing_test.go
# Collect Benchmarks in Dir: /lib/persistentqueue
## Collect Benchmarks in File: fastqueue_timing_test.go
## Collect Benchmarks in File: persistentqueue_timing_test.go
# Collect Benchmarks in Dir: /lib/mergeset
## Collect Benchmarks in File: table_search_timing_test.go
## Collect Benchmarks in File: encoding_timing_test.go
# Collect Benchmarks in Dir: /lib/promutils
## Collect Benchmarks in File: labels_timing_test.go
## Collect Benchmarks in File: labelscompressor_timing_test.go
# Collect Benchmarks in Dir: /lib/bytesutil
## Collect Benchmarks in File: fast_string_transformer_timing_test.go
## Collect Benchmarks in File: internstring_timing_test.go
## Collect Benchmarks in File: bytesutil_timing_test.go
## Collect Benchmarks in File: fast_string_matcher_timing_test.go
# Collect Benchmarks in Dir: /lib/promrelabel
## Collect Benchmarks in File: relabel_timing_test.go
## Collect Benchmarks in File: graphite_timing_test.go
## Collect Benchmarks in File: if_expression_timing_test.go
# Collect Benchmarks in Dir: /lib/stringsutil
## Collect Benchmarks in File: less_natural_timing_test.go
## Collect Benchmarks in File: stringsutil_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/opentsdbhttp
## Collect Benchmarks in File: parser_timing_test.go
# Collect Benchmarks in Dir: /lib/protoparser/newrelic
## Collect Benchmarks in File: parser_timing_test.go
# Collect Benchmarks in Dir: /lib/logstorage
## Collect Benchmarks in File: bitmap_timing_test.go
## Collect Benchmarks in File: hash_tokenizer_timing_test.go
## Collect Benchmarks in File: block_timing_test.go
## Collect Benchmarks in File: filter_timing_test.go
## Collect Benchmarks in File: log_rows_timing_test.go
## Collect Benchmarks in File: values_encoder_timing_test.go
## Collect Benchmarks in File: tokenizer_timing_test.go
## Collect Benchmarks in File: hash128_timing_test.go
## Collect Benchmarks in File: pattern_timing_test.go
## Collect Benchmarks in File: stream_id_timing_test.go
## Collect Benchmarks in File: encoding_timing_test.go
## Collect Benchmarks in File: inmemory_part_timing_test.go
#####################
## Shuffle Benchmarks
#####################
### Execute Benchmark: /lib/persistentqueue/persistentqueue_timing_test.go::BenchmarkQueueThroughputConcurrent
x is 0
Changing directory to dir1: /home/benchUser/other/lib/persistentqueue
Running '[go test -benchtime=1s -timeout=10s -count=5 -run=^$ -bench=^BenchmarkQueueThroughputConcurrent$]
Benchmark 1 done: 2024-12-15T14:36:06.535Z	info	/home/benchUser/other/lib/memory/memory.go:42	limiting caches to 5005924761 bytes, leaving 3337283175 bytes to the OS according to -memory.allowedPercent=60
goos: linux
goarch: amd64
pkg: github.com/VictoriaMetrics/VictoriaMetrics/lib/persistentqueue
cpu: Intel(R) Xeon(R) CPU @ 2.20GHz
BenchmarkQueueThroughputConcurrent/block-size-1-2         	   12768	     86504 ns/op	   1.16 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1-2         	   12942	     85943 ns/op	   1.16 MB/s	      82 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1-2         	   12464	    123625 ns/op	   0.81 MB/s	      85 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1-2         	   13804	     86265 ns/op	   1.16 MB/s	      77 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1-2         	   12661	     85688 ns/op	   1.17 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10-2        	   12540	     88711 ns/op	  11.27 MB/s	      84 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10-2        	   12531	     88751 ns/op	  11.27 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10-2        	   12333	     89223 ns/op	  11.21 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10-2        	   12488	     88069 ns/op	  11.35 MB/s	      42 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10-2        	   12307	    103161 ns/op	   9.69 MB/s	      87 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100-2       	   10897	    107071 ns/op	  93.40 MB/s	       2 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100-2       	   10182	    105326 ns/op	  94.94 MB/s	       2 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100-2       	   10320	    107543 ns/op	  92.99 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100-2       	   10470	    105581 ns/op	  94.71 MB/s	       2 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100-2       	   10393	    108365 ns/op	  92.28 MB/s	       2 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1000-2      	    1951	    783168 ns/op	 127.69 MB/s	     554 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1000-2      	    1845	    909342 ns/op	 109.97 MB/s	       7 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1000-2      	    1544	    822174 ns/op	 121.63 MB/s	     689 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1000-2      	    1921	    813958 ns/op	 122.86 MB/s	     558 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1000-2      	    1884	    805471 ns/op	 124.15 MB/s	      11 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10000-2     	     162	   8125869 ns/op	 123.06 MB/s	    3392 B/op	       1 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10000-2     	     158	   8126695 ns/op	 123.05 MB/s	    3555 B/op	       1 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10000-2     	     159	   8115058 ns/op	 123.23 MB/s	      81 B/op	       1 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10000-2     	     156	   8362110 ns/op	 119.59 MB/s	    3448 B/op	       1 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10000-2     	     147	   8440669 ns/op	 118.47 MB/s	    7397 B/op	       1 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100000-2    	      15	  84949392 ns/op	 117.72 MB/s	    9572 B/op	      12 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100000-2    	      16	  85060167 ns/op	 117.56 MB/s	   83348 B/op	      13 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100000-2    	      16	  84406981 ns/op	 118.47 MB/s	   82818 B/op	      13 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100000-2    	      18	  84139690 ns/op	 118.85 MB/s	    8461 B/op	      11 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100000-2    	      16	  83888668 ns/op	 119.21 MB/s	    9571 B/op	      13 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1000000-2   	       2	 833348273 ns/op	 120.00 MB/s	  797916 B/op	     106 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1000000-2   	       2	 836983559 ns/op	 119.48 MB/s	 1061160 B/op	     120 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1000000-2   	       2	 829330194 ns/op	 120.58 MB/s	  798080 B/op	     110 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1000000-2   	       2	 821604056 ns/op	 121.71 MB/s	 1061288 B/op	     117 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1000000-2   	       2	 829038366 ns/op	 120.62 MB/s	  802136 B/op	     109 allocs/op
PASS
ok  	github.com/VictoriaMetrics/VictoriaMetrics/lib/persistentqueue	62.794s

Result 1 parsed
Changing directory to dir2: /home/benchUser/latest/lib/persistentqueue
Running '[go test -benchtime=1s -timeout=10s -count=5 -run=^$ -bench=^BenchmarkQueueThroughputConcurrent$]
Benchmark 2 done: 2024-12-15T14:37:14.955Z	info	/home/benchUser/latest/lib/memory/memory.go:42	limiting caches to 5005924761 bytes, leaving 3337283175 bytes to the OS according to -memory.allowedPercent=60
goos: linux
goarch: amd64
pkg: github.com/VictoriaMetrics/VictoriaMetrics/lib/persistentqueue
cpu: Intel(R) Xeon(R) CPU @ 2.20GHz
BenchmarkQueueThroughputConcurrent/block-size-1-2         	   13219	     85521 ns/op	   1.17 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1-2         	   13249	     84368 ns/op	   1.19 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1-2         	   12540	     84206 ns/op	   1.19 MB/s	      84 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1-2         	   13248	     84108 ns/op	   1.19 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-1-2         	   12573	     93491 ns/op	   1.07 MB/s	      84 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10-2        	   10563	     97503 ns/op	  10.26 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10-2        	   12986	     85325 ns/op	  11.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10-2        	   12772	    106931 ns/op	   9.35 MB/s	      83 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10-2        	   12655	     89678 ns/op	  11.15 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-10-2        	   12412	     88558 ns/op	  11.29 MB/s	       1 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100-2       	   10440	    106776 ns/op	  93.65 MB/s	       2 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100-2       	   10178	    108527 ns/op	  92.14 MB/s	     105 B/op	       0 allocs/op
BenchmarkQueueThroughputConcurrent/block-size-100-2       	   10627	    106686 ns/op	  93.73 MB/s	     100 B/op	       0 allocs/op
